Article_Title,Speciality,Year,Description,Revue,Volume,Number,Pages
Combining FAO-56 model and ground-based remote sensing to estimate water consumptions of wheat crops in a semi-arid region,Mathematics and Computational Sciences,2007,"Agricultural water management 87 (1), 41-54, 2007",Agricultural water management,87,1,4154
Near real-time agriculture monitoring at national scale at parcel resolution: Performance assessment of the Sen2-Agri automated system in various cropping systems around the world,Mathematics and Computational Sciences,2019,"Remote sensing of environment 221, 551-568, 2019",Remote sensing of environment,221,,551568
OZCAR: The French Network of Critical Zone Observatories,Mathematics and Computational Sciences,2018,"Vadose Zone Journal 17 (1), 1-24, 2018",Vadose Zone Journal,17,1,124
"Performance assessment of AquaCrop model for estimating evapotranspiration, soil water content and grain yield of winter wheat in Tensift Al Haouz (Morocco): Application to …",Mathematics and Computational Sciences,2016,"Agricultural Water Management 163, 219-235, 2016",Agricultural Water Management,163,,219235
Deriving daily evapotranspiration from remotely sensed instantaneous evaporative fraction over olive orchard in semi-arid Morocco,Mathematics and Computational Sciences,2008,"Journal of Hydrology 354 (1-4), 53-64, 2008",Journal of Hydrology,354,14,5364
An integrated modelling and remote sensing approach for hydrological study in arid and semi‐arid regions: the SUDMED Programme,Mathematics and Computational Sciences,2008,"International Journal of Remote Sensing 29 (17-18), 5161-5181, 2008",International Journal of Remote Sensing,29,1718,51615181
Intercomparison of four remote-sensing-based energy balance methods to retrieve surface evapotranspiration and water stress of irrigated fields in semi-arid climate,Mathematics and Computational Sciences,2014,"Hydrology and earth system sciences 18 (3), 1165-1188, 2014",Hydrology and earth system sciences,18,3,11651188
Improvement of FAO-56 method for olive orchards through sequential assimilation of thermal infrared-based estimates of ET,Mathematics and Computational Sciences,2008,"Agricultural Water Management 95 (3), 309-321, 2008",Agricultural Water Management,95,3,309321
Comparison of large aperture scintillometer and eddy covariance measurements: Can thermal infrared data be used to capture footprint-induced differences?,Mathematics and Computational Sciences,2007,"Journal of Hydrometeorology 8 (2), 144-159, 2007",Journal of Hydrometeorology,8,2,144159
The use of the scintillation technique for monitoring seasonal water consumption of olive orchards in a semi-arid region,Mathematics and Computational Sciences,2007,"Agricultural Water Management 89 (3), 173-184, 2007",Agricultural Water Management,89,3,173184
Remote sensing of water resources in semi-arid Mediterranean areas: The joint international laboratory TREMA,Mathematics and Computational Sciences,2015,"International Journal of Remote Sensing 36 (19-20), 4879-4917, 2015",International Journal of Remote Sensing,36,1920,48794917
Evaluation of backscattering models and support vector machine for the retrieval of bare soil moisture from Sentinel-1 data,Mathematics and Computational Sciences,2019,"Remote Sensing 12 (1), 72, 2019",Remote Sensing,12,1,72
Monitoring water stress using time series of observed to unstressed surface temperature difference,Mathematics and Computational Sciences,2007,"Agricultural and Forest Meteorology 146 (3-4), 159-172, 2007",Agricultural and Forest Meteorology,146,34,159172
Impact of sowing date on yield and water use efficiency of wheat analyzed through spatial modeling and FORMOSAT-2 images,Mathematics and Computational Sciences,2015,"Remote Sensing 7 (5), 5951-5979, 2015",Remote Sensing,7,5,59515979
Modeling soil evaporation efficiency in a range of soil and atmospheric conditions using a meta‐analysis approach,Mathematics and Computational Sciences,2016,"Water Resources Research 52 (5), 3663-3684, 2016",Water Resources Research,52,5,36633684
"Partitioning evapotranspiration of a drip-irrigated wheat crop: Inter-comparing eddy covariance-, sap flow-, lysimeter-and FAO-based methods",Mathematics and Computational Sciences,2019,"Agricultural and forest meteorology 265, 310-326, 2019",Agricultural and forest meteorology,265,,310326
Citrus orchard evapotranspiration: comparison between eddy covariance measurements and the FAO-56 approach estimates,Mathematics and Computational Sciences,2009,"Plant Biosystems 143 (1), 201-208, 2009",Plant Biosystems,143,1,201208
"Combining stable isotopes, Eddy Covariance system and meteorological measurements for partitioning evapotranspiration, of winter wheat, into soil evaporation and plant …",Mathematics and Computational Sciences,2016,"Agricultural Water Management 177, 181-192, 2016",Agricultural Water Management,177,,181192
Combining scintillometer measurements and an aggregation scheme to estimate area-averaged latent heat flux during the AMMA experiment,Mathematics and Computational Sciences,2009,"Journal of Hydrology 375 (1-2), 217-226, 2009",Journal of Hydrology,375,12,217226
Low cost biosorbent “banana peel” for the removal of phenolic compounds from olive mill wastewater: Kinetic and equilibrium studies,Environmental Science,2009,"Journal of hazardous materials 166 (1), 117-125, 2009",Journal of hazardous materials,166,1,117125
Treatment of highly concentrated tannery wastewater using electrocoagulation: Influence of the quality of aluminium used for the electrode,Environmental Science,2016,"Journal of Hazardous Materials 319, 69-77, 2016",Journal of Hazardous Materials,319,,6977
Heavy metal contamination from mining sites in South Morocco: monitoring metal content and toxicity of soil runoff and groundwater,Environmental Science,2008,"Environmental monitoring and assessment 136, 147-160, 2008",Environmental monitoring and assessment,136,,147160
Removal of organic pollutants and nutrients from olive mill wastewater by a sand filter,Environmental Science,2009,"Journal of environmental management 90 (8), 2771-2779, 2009",Journal of environmental management,90,8,27712779
Removal of Cr (III) from chrome tanning wastewater by adsorption using two natural carbonaceous materials: Eggshell and powdered marble,Environmental Science,2016,"Journal of environmental management 166, 589-595, 2016",Journal of environmental management,166,,589595
Accumulation of heavy metals in metallophytes from three mining sites (Southern Centre Morocco) and evaluation of their phytoremediation potential,Environmental Science,2019,"Ecotoxicology and Environmental Safety 169, 150-160, 2019",Ecotoxicology and Environmental Safety,169,,150160
Reuse of urban wastewater treated by a combined stabilisation pond system in Benslimane (Morocco),Environmental Science,2002,"Urban water 4 (4), 373-378, 2002",Urban water,4,4,373378
Domestic wastewater disinfection by combined treatment using multi-soil-layering system and sand filters (MSL–SF): A laboratory pilot study,Environmental Science,2016,"Ecological Engineering 91, 294-301, 2016",Ecological Engineering,91,,294301
Soil properties and agro-physiological responses of alfalfa (Medicago sativa L.) irrigated by treated domestic wastewater,Environmental Science,2018,"Agricultural water management 202, 231-240, 2018",Agricultural water management,202,,231240
Caractérisation des margines issues d’une huilerie moderne et essais de leur traitement par coagulation-floculation par la chaux et le sulfate d’aluminium.,Environmental Science,2008,"Revue des Sciences de l'Eau 21 (1), 53-67, 2008",Revue des Sciences de l'Eau,21,1,5367
Application of constructed wetlands for domestic wastewater treatment in an arid climate,Environmental Science,1998,"Water Science and Technology 38 (1), 379-387, 1998",Water Science and Technology,38,1,379387
Detoxification of olive mill wastewaters by Moroccan yeast isolates,Environmental Science,2008,"Biodegradation 19, 337-346, 2008",Biodegradation,19,,337346
Phytoremediation of domestic wastewater using a hybrid constructed wetland in mountainous rural area,Environmental Science,2018,"International Journal of Phytoremediation 20 (1), 75-87, 2018",International Journal of Phytoremediation,20,1,7587
Two-stage vertical flow multi-soil-layering (MSL) technology for efficient removal of coliforms and human pathogens from domestic wastewater in rural areas under arid climate,Environmental Science,2018,"International journal of hygiene and environmental health 221 (1), 64-80, 2018",International journal of hygiene and environmental health,221,1,6480
Removal of phenolic compounds from olive mill wastewater by adsorption onto wheat bran,Environmental Science,2014,"Desalination and Water Treatment 52 (13-15), 2875-2885, 2014",Desalination and Water Treatment,52,1315,28752885
Wastewater treatment by stabilization pond: Marrakesh experiment,Environmental Science,1995,"Water Science and Technology 31 (12), 75-80, 1995",Water Science and Technology,31,12,7580
Composites with alginate beads: A novel design of nano-adsorbents impregnation for large-scale continuous flow wastewater treatment pilots,Environmental Science,2020,"Saudi Journal of Biological Sciences 27 (10), 2499-2508, 2020",Saudi Journal of Biological Sciences,27,10,24992508
Impact of fertilization by natural manure on the microbial quality of soil: molecular approach,Environmental Science,2017,"Saudi journal of biological sciences 24 (6), 1437-1443, 2017",Saudi journal of biological sciences,24,6,14371443
Reuse study of sustainable wastewater in agroforestry domain of Marrakesh city,Environmental Science,2019,"Journal of the Saudi Society of Agricultural Sciences 18 (3), 288-293, 2019",Journal of the Saudi Society of Agricultural Sciences,18,3,288293
Wastewater treatment by stabilization ponds with and without macrophytes under arid climate,Environmental Science,1993,"Water Science and Technology 28 (10), 177-181, 1993",Water Science and Technology,28,10,177181
"Monitoring wheat phenology and irrigation in Central Morocco: On the use of relationships between evapotranspiration, crops coefficients, leaf area index and remotely-sensed …",Agricultural Sciences,2006,"Agricultural Water Management 79 (1), 1-27, 2006",Agricultural Water Management,79,1,127
"Performance assessment of AquaCrop model for estimating evapotranspiration, soil water content and grain yield of winter wheat in Tensift Al Haouz (Morocco): Application to …",Agricultural Sciences,2016,"Agricultural Water Management 163, 219-235, 2016",Agricultural Water Management,163,,219235
Retrieving surface soil moisture at high spatio-temporal resolution from a synergy between Sentinel-1 radar and Landsat thermal data: A study case over bare soil,Agricultural Sciences,2018,"Remote sensing of environment 211, 321-337, 2018",Remote sensing of environment,211,,321337
Assessment of reference evapotranspiration methods in semi-arid regions: can weather forecast data be used as alternate of ground meteorological parameters?,Agricultural Sciences,2010,"Journal of Arid Environments 74 (12), 1587-1596, 2010",Journal of Arid Environments,74,12,15871596
An integrated modelling and remote sensing approach for hydrological study in arid and semi‐arid regions: the SUDMED Programme,Agricultural Sciences,2008,"International Journal of Remote Sensing 29 (17-18), 5161-5181, 2008",International Journal of Remote Sensing,29,1718,51615181
Assessing the impact of global climate changes on irrigated wheat yields and water requirements in a semi-arid environment of Morocco,Agricultural Sciences,2019,"Scientific reports 9 (1), 19142, 2019",Scientific reports,9,1,19142
Remote sensing of water resources in semi-arid Mediterranean areas: The joint international laboratory TREMA,Agricultural Sciences,2015,"International Journal of Remote Sensing 36 (19-20), 4879-4917, 2015",International Journal of Remote Sensing,36,1920,48794917
Normalizing land surface temperature data for elevation and illumination effects in mountainous areas: A case study using ASTER data over a steep-sided valley in Morocco,Agricultural Sciences,2017,"Remote Sensing of Environment 189, 25-39, 2017",Remote Sensing of Environment,189,,2539
Performance metrics for soil moisture downscaling methods: Application to DISPATCH data in central Morocco,Agricultural Sciences,2015,"Remote sensing 7 (4), 3783-3807, 2015",Remote sensing,7,4,37833807
Evaluation of backscattering models and support vector machine for the retrieval of bare soil moisture from Sentinel-1 data,Agricultural Sciences,2019,"Remote Sensing 12 (1), 72, 2019",Remote Sensing,12,1,72
Modeling soil evaporation efficiency in a range of soil and atmospheric conditions using a meta‐analysis approach,Agricultural Sciences,2016,"Water Resources Research 52 (5), 3663-3684, 2016",Water Resources Research,52,5,36633684
Monitoring of irrigated wheat in a semi‐arid climate using crop modelling and remote sensing data: Impact of satellite revisit time frequency,Agricultural Sciences,2006,"International Journal of Remote Sensing 27 (6), 1093-1117, 2006",International Journal of Remote Sensing,27,6,10931117
"Partitioning evapotranspiration of a drip-irrigated wheat crop: Inter-comparing eddy covariance-, sap flow-, lysimeter-and FAO-based methods",Agricultural Sciences,2019,"Agricultural and forest meteorology 265, 310-326, 2019",Agricultural and forest meteorology,265,,310326
Citrus orchard evapotranspiration: comparison between eddy covariance measurements and the FAO-56 approach estimates,Agricultural Sciences,2009,"Plant Biosystems 143 (1), 201-208, 2009",Plant Biosystems,143,1,201208
"Combining stable isotopes, Eddy Covariance system and meteorological measurements for partitioning evapotranspiration, of winter wheat, into soil evaporation and plant …",Agricultural Sciences,2016,"Agricultural Water Management 177, 181-192, 2016",Agricultural Water Management,177,,181192
Monitoring of wheat crops using the backscattering coefficient and the interferometric coherence derived from Sentinel-1 in semi-arid areas,Agricultural Sciences,2020,"Remote Sensing of Environment 251, 112050, 2020",Remote Sensing of Environment,251,,112050
"Assessment of equity and adequacy of water delivery in irrigation systems using remote sensing-based indicators in semi-arid region, Morocco",Agricultural Sciences,2013,"Water resources management 27, 4697-4714, 2013",Water resources management,27,,46974714
Potentiality of optical and radar satellite data at high spatio-temporal resolutions for the monitoring of irrigated wheat crops in Morocco,Agricultural Sciences,2010,"International Journal of Applied Earth Observation and Geoinformation 12 …, 2010",International Journal of Applied Earth Observation and Geoinformation,12,,
Performance of the two-source energy budget (TSEB) model for the monitoring of evapotranspiration over irrigated annual crops in North Africa,Agricultural Sciences,2017,"Agricultural Water Management 193, 71-88, 2017",Agricultural Water Management,193,,7188
A new irrigation priority index based on remote sensing data for assessing the networks irrigation scheduling,Agricultural Sciences,2013,"Agricultural Water Management 119, 1-9, 2013",Agricultural Water Management,119,,19
The south-western branch of the Variscan Belt: evidence from Morocco,Geology and Geophysics,2010,"Tectonophysics 492 (1-4), 1-24, 2010",Tectonophysics,492,14,124
The pan-african belt,Geology and Geophysics,2008,"Continental Evolution: The Geology of Morocco: Structure, Stratigraphy, and …, 2008","Continental Evolution: The Geology of Morocco: Structure, Stratigraphy, and …,",,,
The moroccan hercynides,Geology and Geophysics,2005,"Journal of African Earth Sciences 43 (1-3), 144-165, 2005",Journal of African Earth Sciences,43,13,144165
The variscan belt,Geology and Geophysics,2008,"Continental Evolution: The Geology of Morocco: Structure, Stratigraphy, and …, 2008","Continental Evolution: The Geology of Morocco: Structure, Stratigraphy, and …,",,,
Tectonics of the anti-Atlas of Morocco,Geology and Geophysics,2006,"Comptes Rendus Geoscience 338 (1-2), 11-24, 2006",Comptes Rendus Geoscience,338,12,1124
"The 1750 Ma magmatic event of the west African craton (Anti-Atlas, Morocco)",Geology and Geophysics,2013,"Precambrian Research 236, 106-123, 2013",Precambrian Research,236,,106123
L’extension continentale au Néo-Protérozoïque supérieur-Cambrien inférieur dans l’Anti-Atlas (Maroc),Geology and Geophysics,2003,"Bull. Soc. géol. France 174 (1), 83-92, 2003",Bull. Soc. géol. France,174,1,8392
"A reconsideration of Pan African orogenic cycle in the Anti-Atlas Mountains, Morocco",Geology and Geophysics,2014,"Journal of African Earth Sciences 98, 34-46, 2014",Journal of African Earth Sciences,98,,3446
"U–Pb baddeleyite and zircon ages of 2040 Ma, 1650 Ma and 885 Ma on dolerites in the West African Craton (Anti-Atlas inliers): possible links to break-up of Precambrian …",Geology and Geophysics,2013,"Lithos 174, 71-84, 2013",Lithos,174,,7184
Geochronological constraints on the polycyclic magmatism in the Bou Azzer-El Graara inlier (central Anti-Atlas Morocco),Geology and Geophysics,2014,"Journal of African Earth Sciences 99, 287-306, 2014",Journal of African Earth Sciences,99,,287306
Late Ediacaran–Cambrian structures and their reactivation during the Variscan and Alpine cycles in the Anti-Atlas (Morocco),Geology and Geophysics,2014,"Journal of African Earth Sciences 98, 94-112, 2014",Journal of African Earth Sciences,98,,94112
U–Pb baddeleyite ages and geochemistry of dolerite dykes in the Bas Drâa Inlier of the Anti-Atlas of Morocco: newly identified 1380 Ma event in the West African Craton,Geology and Geophysics,2013,"Lithos 174, 85-98, 2013",Lithos,174,,8598
Reply to Comment on “U–Pb baddeleyite ages and geochemistry of dolerite dykes in the Bas-Drâa inlier of the Anti-Atlas of Morocco: Newly identified 1380 Ma event in the West …,Geology and Geophysics,2013,"Lithos 174, 101-108, 2013",Lithos,174,,101108
The Anti-Atlas chain (Morocco): the southern margin of the Variscan belt along the edge of the West African Craton,Geology and Geophysics,2008,"Geological Society, London, Special Publications 297 (1), 433-452, 2008","Geological Society, London, Special Publications",297,1,433452
The anti-atlas pan-african belt (Morocco): Overview and pending questions,Geology and Geophysics,2018,"Comptes Rendus Geoscience 350 (6), 279-288, 2018",Comptes Rendus Geoscience,350,6,279288
"Les conglomérats du P III (Néoprotérozoïque supérieur) de l'Anti Atlas (Sud du Maroc): molasses panafricaines, ou marqueurs d'un rifting fini-protérozoïque?",Geology and Geophysics,1999,"Comptes Rendus de l'Académie des Sciences-Series IIA-Earth and Planetary …, 1999","Comptes Rendus de l'Académie des Sciences-Series IIA-Earth and Planetary …,",,,
"Déformation hercynienne et relation socle/couverture dans le domaine du Bas-Drâa (Anti-Atlas occidental, Maroc)",Geology and Geophysics,1997,"Journal of African Earth Sciences 24 (3), 271-284, 1997",Journal of African Earth Sciences,24,3,271284
"Application of ASTER remote sensing data to geological mapping of basement domains in arid regions: a case study from the Central Anti-Atlas, Iguerda inlier, Morocco",Geology and Geophysics,2014,"Arabian Journal of Geosciences 7, 2407-2422, 2014",Arabian Journal of Geosciences,7,,24072422
"New geochemical, geochronological and structural constraints on the Ediacaran evolution of the south Sirwa, Agadir-Melloul and Iguerda inliers, Anti-Atlas, Morocco",Geology and Geophysics,2014,"Journal of African Earth Sciences 98, 47-71, 2014",Journal of African Earth Sciences,98,,4771
"Modélisation magnétique de la suture ophiolitique de Bou Azzer–El Graara (Anti-Atlas central, Maroc). Implications sur la reconstitution géodynamique panafricaine",Geology and Geophysics,2006,"Comptes Rendus Geoscience 338 (3), 153-160, 2006",Comptes Rendus Geoscience,338,3,153160
"Effects of salt stress on growth, inorganic ions and proline accumulation in relation to osmotic adjustment in five sugar beet cultivars",Agricultural Sciences,2002,"Environmental and experimental Botany 47 (1), 39-50, 2002",Environmental and experimental Botany,47,1,3950
Effect of salinity on seed germination and early seedling growth of sugar beet (Beta vulgaris L.),Agricultural Sciences,2001,"Seed science and technology 29 (2), 357-364, 2001",Seed science and technology,29,2,357364
Phosphate solubilizing rhizobacteria could have a stronger influence on wheat root traits and aboveground physiology than rhizosphere P solubilization,Agricultural Sciences,2020,"Frontiers in plant science 11, 979, 2020",Frontiers in plant science,11,,979
"Growth and nodulation of alfalfa-rhizobia symbiosis under salinity: electrolyte leakage, stomatal conductance, and chlorophyll fluorescence",Agricultural Sciences,2014,"Turkish Journal of Agriculture and Forestry 38 (3), 320-326, 2014",Turkish Journal of Agriculture and Forestry,38,3,320326
Phosphate bacterial solubilization: A key rhizosphere driving force enabling higher P use efficiency and crop productivity,Agricultural Sciences,2022,"Journal of Advanced Research 38, 13-28, 2022",Journal of Advanced Research,38,,1328
Arbuscular mycorrhizal symbiosis enhanced growth and antioxidant metabolism in date palm subjected to long-term drought,Agricultural Sciences,2015,"Trees 29, 1725-1733, 2015",Trees,29,,17251733
Agro-physiological responses of Moroccan alfalfa (Medicago sativa L.) populations to salt stress during germination and early seedling stages,Agricultural Sciences,2011,"Seed Science and Technology 39 (2), 389-401, 2011",Seed Science and Technology,39,2,389401
Influence of arbuscular mycorrhizal fungi on the functional mechanisms associated with drought tolerance in carob (Ceratonia siliqua L.),Agricultural Sciences,2018,"Trees 32, 87-97, 2018",Trees,32,,8797
"Seed osmopriming improves plant growth, nodulation, chlorophyll fluorescence and nutrient uptake in alfalfa (Medicago sativa L.)–rhizobia symbiosis under drought stress",Agricultural Sciences,2016,"Scientia Horticulturae 213, 232-242, 2016",Scientia Horticulturae,213,,232242
"Low Soil Phosphorus Availability Increases Acid Phosphatases Activities and Affects P Partitioning in Nodules, Seeds and Rhizosphere of Phaseolus vulgaris",Agricultural Sciences,2012,"Agriculture 2 (2), 139-153, 2012",Agriculture,2,2,139153
Physiological and biochemical responses involved in water deficit tolerance of nitrogen-fixing Vicia faba,Agricultural Sciences,2017,"PLoS one 12 (12), e0190284, 2017",PLoS one,12,12,0190284
"Effects of water deficit on growth, nodulation and physiological and biochemical processes in Medicago sativa-rhizobia symbiotic association",Agricultural Sciences,2016,"Arid Land Research and Management 30 (2), 193-208, 2016",Arid Land Research and Management,30,2,193208
Changes in water deficit saturation and photosynthetic pigments of alfalfa populations under salinity and assessment of proline role in salt tolerance,Agricultural Sciences,2013,"Agric. Sci. Res. J 3 (1), 29-35, 2013",Agric. Sci. Res. J,3,1,2935
Legume-based intercropping systems promote beneficial rhizobacterial community and crop yield under stressing conditions,Agricultural Sciences,2022,"Industrial Crops and Products 183, 114958, 2022",Industrial Crops and Products,183,,114958
"Effect of salinity on nodulation, nitrogen fixation and growth of common bean (Phaseolus vulgaris) inoculated with rhizobial strains isolated from the Haouz region …",Agricultural Sciences,2011,"Symbiosis 55, 69-75, 2011",Symbiosis,55,,6975
Oxidative stress in the root nodules of Phaseolus vulgaris is induced under conditions of phosphorus deficiency,Agricultural Sciences,2013,"Acta Physiologiae Plantarum 35 (5), 1633-1644, 2013",Acta Physiologiae Plantarum,35,5,16331644
"Osmopriming improves seeds germination, growth, antioxidant responses and membrane stability during early stage of Moroccan alfalfa populations under water deficit",Agricultural Sciences,2016,"Chilean journal of agricultural research 76 (3), 265-272, 2016",Chilean journal of agricultural research,76,3,265272
"Growth, nutrients concentrations, and enzymes involved in plants nutrition of alfalfa populations under saline conditions",Agricultural Sciences,2014,"Journal of Agricultural Science and Technology (JAST) 16 (2), 301-314, 2014",Journal of Agricultural Science and Technology (JAST),16,2,301314
A phosphoenol pyruvate phosphatase transcript is induced in the root nodule cortex of Phaseolus vulgaris under conditions of phosphorus deficiency,Agricultural Sciences,2012,"Journal of experimental botany 63 (13), 4723-4730, 2012",Journal of experimental botany,63,13,47234730
Identification at the species and symbiovar levels of strains nodulating Phaseolus vulgaris in saline soils of the Marrakech region (Morocco) and analysis of the otsA gene …,Agricultural Sciences,2012,"Systematic and Applied Microbiology 35 (3), 156-164, 2012",Systematic and Applied Microbiology,35,3,156164
Rock phosphate-solubilizing Actinomycetes: screening for plant growth-promoting activities,Agricultural Sciences,2008,"World Journal of Microbiology and Biotechnology 24, 2565-2575, 2008",World Journal of Microbiology and Biotechnology,24,,25652575
Rock phosphate-solubilizing Actinomycetes: screening for plant growth-promoting activities,Biotechnology,2008,"World Journal of Microbiology and Biotechnology 24, 2565-2575, 2008",World Journal of Microbiology and Biotechnology,24,,25652575
Screening for rock phosphate solubilizing Actinomycetes from Moroccan phosphate mines,Agricultural Sciences,2008,"Applied soil ecology 38 (1), 12-19, 2008",Applied soil ecology,38,1,1219
Screening for rock phosphate solubilizing Actinomycetes from Moroccan phosphate mines,Biotechnology,2008,"Applied soil ecology 38 (1), 12-19, 2008",Applied soil ecology,38,1,1219
Actinomycetes of Moroccan habitats: isolation and screening for antifungal activities,Agricultural Sciences,2001,"European Journal of Soil Biology 37 (2), 69-74, 2001",European Journal of Soil Biology,37,2,6974
Actinomycetes of Moroccan habitats: isolation and screening for antifungal activities,Biotechnology,2001,"European Journal of Soil Biology 37 (2), 69-74, 2001",European Journal of Soil Biology,37,2,6974
Growth promotion and protection against damping-off of wheat by two rock phosphate solubilizing actinomycetes in a P-deficient soil under greenhouse conditions,Agricultural Sciences,2008,"Applied soil ecology 40 (3), 510-517, 2008",Applied soil ecology,40,3,510517
Growth promotion and protection against damping-off of wheat by two rock phosphate solubilizing actinomycetes in a P-deficient soil under greenhouse conditions,Biotechnology,2008,"Applied soil ecology 40 (3), 510-517, 2008",Applied soil ecology,40,3,510517
Exploiting biological nitrogen fixation: a route towards a sustainable agriculture,Agricultural Sciences,2020,"Plants 9 (8), 1011, 2020",Plants,9,8,1011
Exploiting biological nitrogen fixation: a route towards a sustainable agriculture,Biotechnology,2020,"Plants 9 (8), 1011, 2020",Plants,9,8,1011
Early physiological responses of Arabidopsis thaliana cells to fusaric acid: toxic and signalling effects,Agricultural Sciences,2006,"New Phytologist 169 (1), 209-218, 2006",New Phytologist,169,1,209218
Early physiological responses of Arabidopsis thaliana cells to fusaric acid: toxic and signalling effects,Biotechnology,2006,"New Phytologist 169 (1), 209-218, 2006",New Phytologist,169,1,209218
Characterization of rhizospheric soil streptomycetes from Moroccan habitats and their antimicrobial activities,Agricultural Sciences,2002,"World Journal of Microbiology and Biotechnology 18, 49-54, 2002",World Journal of Microbiology and Biotechnology,18,,4954
Characterization of rhizospheric soil streptomycetes from Moroccan habitats and their antimicrobial activities,Biotechnology,2002,"World Journal of Microbiology and Biotechnology 18, 49-54, 2002",World Journal of Microbiology and Biotechnology,18,,4954
Antagonistic actinomycetes from Moroccan soil to control the grapevine gray mold,Agricultural Sciences,2009,"World Journal of Microbiology and Biotechnology 25, 81-91, 2009",World Journal of Microbiology and Biotechnology,25,,8191
Antagonistic actinomycetes from Moroccan soil to control the grapevine gray mold,Biotechnology,2009,"World Journal of Microbiology and Biotechnology 25, 81-91, 2009",World Journal of Microbiology and Biotechnology,25,,8191
From isolation of phosphate solubilizing microbes to their formulation and use as biofertilizers: status and needs,Agricultural Sciences,2020,"Frontiers in bioengineering and biotechnology 7, 425, 2020",Frontiers in bioengineering and biotechnology,7,,425
From isolation of phosphate solubilizing microbes to their formulation and use as biofertilizers: status and needs,Biotechnology,2020,"Frontiers in bioengineering and biotechnology 7, 425, 2020",Frontiers in bioengineering and biotechnology,7,,425
